WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000038079 803 754 661 550 10 8 13 10
ENSMUSG00000079550 72 59 26 12 0 3 0 0
ENSMUSG00000026024 2878 3785 1348 1918 66 93 29 44
ENSMUSG00000026023 0 0 0 0 0 0 0 0
ENSMUSG00000041075 1734 1541 648 876 52 41 20 34
ENSMUSG00000092149 32 22 17 8 0 0 0 0
ENSMUSG00000047361 299 384 54 79 7 6 0 7
ENSMUSG00000089276 0 0 0 0 0 1 0 0
ENSMUSG00000026021 1337 914 1024 874 24 20 15 19
ENSMUSG00000026020 8959 7446 7012 6337 135 112 106 126
ENSMUSG00000077345 4 10 21 0 0 0 0 1
ENSMUSG00000077358 6 31 0 16 0 0 0 1
ENSMUSG00000089512 6 18 8 20 1 0 0 3
ENSMUSG00000089093 7 0 0 0 0 0 1 0
ENSMUSG00000067336 760 1426 825 1292 43 40 33 76
ENSMUSG00000041040 3195 3610 2211 2752 119 147 76 93
ENSMUSG00000026018 84 98 67 59 2 3 1 4
ENSMUSG00000026019 1589 1427 1452 1002 33 34 29 40
ENSMUSG00000026017 159 296 182 360 5 4 5 12
ENSMUSG00000082609 13 9 15 6 0 0 0 1
ENSMUSG00000073664 680 1114 838 1210 37 22 31 46
ENSMUSG00000049439 1500 1429 1320 1123 21 18 34 30
ENSMUSG00000026782 2253 2312 2068 2565 48 42 67 62
ENSMUSG00000026014 66 111 114 141 7 5 4 7
ENSMUSG00000081562 15 0 0 0 0 0 0 0
ENSMUSG00000084400 0 0 0 0 0 0 0 0
ENSMUSG00000082160 0 0 0 0 0 0 0 0
ENSMUSG00000088973 0 0 0 0 0 0 0 0
ENSMUSG00000084151 0 0 0 0 0 0 0 0
ENSMUSG00000082209 23983 17906 19957 17399 412 349 371 363
ENSMUSG00000026012 25 311 25 120 0 3 0 2
ENSMUSG00000086795 0 0 0 0 0 0 0 0
ENSMUSG00000085965 0 0 0 0 0 0 0 0
ENSMUSG00000083118 0 0 0 0 0 0 0 0
ENSMUSG00000083355 0 0 0 0 0 0 0 0
ENSMUSG00000026011 13 56 1 5 0 0 0 1
ENSMUSG00000081382 1135 725 1102 697 22 26 28 31
ENSMUSG00000080800 0 0 0 0 0 0 0 0
ENSMUSG00000026009 100 30 29 59 2 0 3 2
ENSMUSG00000082804 3 3 4 1 0 0 0 0
ENSMUSG00000082661 0 0 0 0 0 0 0 0
ENSMUSG00000080785 0 0 0 0 0 0 0 0
ENSMUSG00000085248 0 0 0 0 0 0 0 0
ENSMUSG00000085447 0 0 0 0 0 0 0 0
ENSMUSG00000086408 0 0 0 0 0 0 0 0
ENSMUSG00000089546 0 0 0 0 0 0 0 0
ENSMUSG00000086009 0 0 0 0 0 0 0 0
ENSMUSG00000052062 941 1127 912 951 48 62 46 47
ENSMUSG00000085842 0 0 0 0 2 0 1 0
ENSMUSG00000085019 0 8 0 0 0 0 0 0
ENSMUSG00000085400 0 1 1 1 1 0 0 1
ENSMUSG00000046526 0 0 0 0 0 0 0 0
ENSMUSG00000081950 0 0 0 0 0 0 0 0
ENSMUSG00000084333 16 11 2 3 0 0 2 0
ENSMUSG00000025969 151 131 182 80 8 2 3 4
ENSMUSG00000040865 5506 8137 4885 7206 195 197 160 245
ENSMUSG00000088953 0 0 0 0 0 0 0 0
ENSMUSG00000081617 0 0 0 0 0 0 0 0
ENSMUSG00000081429 2 6 14 12 2 1 2 1
ENSMUSG00000084799 116 112 49 110 0 4 1 4
ENSMUSG00000025968 3914 3377 3051 3059 64 62 52 65
ENSMUSG00000025967 30355 24000 28217 22039 534 463 445 544
ENSMUSG00000064612 17 32 5 3 0 0 0 0
ENSMUSG00000064602 23 14 32 5 6 1 0 0
ENSMUSG00000046856 0 0 0 8 0 0 0 0
ENSMUSG00000092874 0 0 0 0 0 0 0 0
ENSMUSG00000086730 0 0 0 0 0 0 0 0
ENSMUSG00000087561 0 0 0 0 0 0 0 0
ENSMUSG00000092705 0 0 0 0 0 1 0 0
ENSMUSG00000027520 4 24 0 0 1 0 0 0
ENSMUSG00000065946 0 0 0 0 0 0 0 0
ENSMUSG00000083039 0 0 0 0 0 0 0 0
ENSMUSG00000081643 516 384 447 378 7 9 13 5
ENSMUSG00000025964 10 0 0 1 0 0 1 0
ENSMUSG00000087823 0 0 0 0 0 0 0 0
ENSMUSG00000069085 0 0 0 0 0 0 0 0
ENSMUSG00000083066 0 0 0 0 0 0 0 0
ENSMUSG00000025963 0 0 0 0 0 0 0 0
ENSMUSG00000025962 905 991 840 886 26 19 16 19
ENSMUSG00000025961 20 3 0 0 0 0 0 1
ENSMUSG00000080817 0 0 0 0 0 0 0 0
ENSMUSG00000082373 0 0 0 0 0 0 0 0
ENSMUSG00000044689 0 0 0 0 0 0 0 0
ENSMUSG00000025959 363 516 696 656 31 22 24 35
ENSMUSG00000090886 0 0 0 0 0 0 0 0
ENSMUSG00000086836 2 0 7 31 0 0 0 3
ENSMUSG00000086721 11 1 0 3 0 0 0 0
ENSMUSG00000093228 0 0 0 0 0 0 0 0
ENSMUSG00000025958 4309 5256 4431 6198 111 102 100 149
ENSMUSG00000025956 834 680 559 570 13 13 13 27
ENSMUSG00000087213 84 95 89 43 0 0 0 0
ENSMUSG00000070871 161 135 135 179 3 3 5 6
ENSMUSG00000045005 543 568 464 513 34 24 12 23
ENSMUSG00000051344 685 1014 650 891 24 31 33 44
ENSMUSG00000084416 34218 26894 31834 26948 697 611 588 692
ENSMUSG00000077471 0 0 0 0 0 0 0 0
ENSMUSG00000025955 0 0 0 0 0 0 0 0
ENSMUSG00000090042 0 0 0 0 0 0 0 0
ENSMUSG00000070870 0 0 0 0 0 0 0 0
ENSMUSG00000067299 0 0 0 0 0 0 0 0
ENSMUSG00000025952 0 0 0 0 0 0 0 0
ENSMUSG00000073658 0 0 0 0 0 0 0 0
ENSMUSG00000044429 0 0 0 0 0 0 0 0
ENSMUSG00000044816 0 0 3 5 0 0 2 0
ENSMUSG00000025950 1579 1750 1685 1750 42 33 37 46
ENSMUSG00000025949 1121 1393 955 1540 29 21 42 64
ENSMUSG00000025946 0 0 0 0 0 0 0 0
ENSMUSG00000082565 0 0 0 0 0 0 0 0
ENSMUSG00000082774 12 19 27 12 0 0 0 0
ENSMUSG00000025945 0 0 0 0 0 0 0 0
ENSMUSG00000081623 0 0 0 0 0 0 0 0
ENSMUSG00000083242 3 10 17 0 0 0 0 0
ENSMUSG00000083289 25 25 19 19 0 1 0 0
ENSMUSG00000015222 20 10 0 0 1 0 0 0
ENSMUSG00000088850 0 0 0 0 0 0 0 0
ENSMUSG00000073656 0 0 0 0 0 0 0 0
ENSMUSG00000065694 0 0 0 0 0 0 0 0
ENSMUSG00000055567 0 0 0 0 0 0 0 0
ENSMUSG00000026005 1345 1337 1322 1506 25 32 32 37
ENSMUSG00000026004 1377 1672 1068 1756 26 41 36 49
ENSMUSG00000082057 1 3 7 8 0 2 5 3
ENSMUSG00000026003 4397 4334 4623 3776 69 89 72 91
ENSMUSG00000082769 37 33 13 21 1 1 0 4
ENSMUSG00000089518 0 0 0 0 0 0 0 0
ENSMUSG00000077328 0 0 0 0 0 0 0 0
ENSMUSG00000061816 0 0 0 0 0 0 0 0
ENSMUSG00000059999 29 14 10 3 0 1 1 0
ENSMUSG00000082212 0 0 0 0 0 0 0 0
ENSMUSG00000026000 2665 2622 1901 2115 35 54 34 56
ENSMUSG00000025991 0 0 0 5 0 0 0 0
ENSMUSG00000086204 0 0 0 0 0 0 0 0
ENSMUSG00000077745 0 0 0 0 0 0 0 0
ENSMUSG00000082473 0 0 0 1 0 0 0 0
ENSMUSG00000093566 0 0 0 0 0 0 0 0
ENSMUSG00000085075 0 0 0 0 0 0 0 0
ENSMUSG00000093213 0 0 0 0 0 0 0 0
ENSMUSG00000087329 0 0 0 0 0 0 0 0
ENSMUSG00000062209 0 0 0 0 0 0 0 0
ENSMUSG00000083795 0 0 0 0 0 0 0 0
ENSMUSG00000080539 0 0 0 0 0 0 0 0
ENSMUSG00000087514 0 0 0 0 0 0 0 0
ENSMUSG00000084332 0 3 0 0 0 0 0 0
ENSMUSG00000025997 3450 4970 4853 9035 87 114 147 272
ENSMUSG00000053153 18 16 5 0 0 0 0 0
ENSMUSG00000089345 4 0 0 0 0 0 0 0
ENSMUSG00000080524 0 0 0 0 0 0 0 0
ENSMUSG00000075952 0 0 0 0 0 0 0 0
ENSMUSG00000045648 0 0 0 0 0 0 0 0
ENSMUSG00000026196 1781 1614 2017 1537 54 50 48 44
ENSMUSG00000089965 5 4 0 2 1 1 1 0
ENSMUSG00000050296 0 0 0 0 0 0 0 0
ENSMUSG00000026192 12540 10375 10227 8818 213 208 181 190
ENSMUSG00000026193 1240 1530 1972 1558 153 67 116 88
ENSMUSG00000073652 0 0 0 0 0 0 0 0
ENSMUSG00000067744 17 18 16 17 0 2 1 3
ENSMUSG00000060125 1 1 1 0 0 0 0 0
ENSMUSG00000039395 11 12 13 4 0 0 0 0
ENSMUSG00000075752 3 19 0 0 186 114 167 81
ENSMUSG00000085769 113 219 165 192 2 7 6 4
ENSMUSG00000093247 0 0 0 0 0 0 0 0
ENSMUSG00000093111 5 4 0 5 4 2 4 6
ENSMUSG00000093333 10 11 8 4 333 209 341 212
ENSMUSG00000026189 601 612 540 451 11 6 9 12
ENSMUSG00000026188 0 4 0 1 0 0 0 0
ENSMUSG00000026187 2239 2020 1347 1174 26 26 24 43
ENSMUSG00000039372 4 0 0 0 0 0 0 0
ENSMUSG00000085812 32 34 19 31 0 0 0 1
ENSMUSG00000039354 2525 2664 2125 2396 59 58 53 60
ENSMUSG00000039342 0 0 0 0 0 0 0 0
ENSMUSG00000046330 915 382 338 392 11 11 15 10
ENSMUSG00000039323 30 0 1 0 1 0 0 0
ENSMUSG00000026185 390 205 238 42 6 11 3 0
ENSMUSG00000026182 0 0 0 0 0 0 0 0
ENSMUSG00000088666 0 0 0 0 0 0 0 0
ENSMUSG00000055322 7774 9086 12641 18805 249 232 387 575
ENSMUSG00000061815 132 120 475 556 0 1 5 16
ENSMUSG00000026180 157 205 1385 1408 3 3 30 31
ENSMUSG00000048480 37 65 49 184 4 4 4 7
ENSMUSG00000087820 0 0 0 0 0 0 0 0
ENSMUSG00000075767 0 0 0 0 0 0 0 0
ENSMUSG00000006304 18057 15813 19276 17320 341 303 311 416
ENSMUSG00000064272 4 0 13 6 1 0 0 1
ENSMUSG00000006299 8257 7273 8142 7382 202 185 143 169
ENSMUSG00000026179 1072 1348 1267 1018 36 39 29 27
ENSMUSG00000006301 2632 2698 2586 2958 90 68 64 110
ENSMUSG00000073650 5 0 6 0 0 2 0 0
ENSMUSG00000026177 33 36 89 20 0 0 2 4
ENSMUSG00000026176 9947 8779 10056 9674 190 172 194 273
ENSMUSG00000065468 8 14 9 37 0 0 0 1
ENSMUSG00000026175 302 303 381 484 42 21 25 25
ENSMUSG00000033364 2811 3260 2791 3169 70 76 75 86
ENSMUSG00000026174 5205 4623 4468 3606 100 110 95 89
ENSMUSG00000026173 65 38 15 34 1 2 2 0
ENSMUSG00000026135 1398 1730 1018 1492 41 39 37 50
ENSMUSG00000093155 0 0 0 0 0 0 0 0
ENSMUSG00000026172 1591 1545 1324 1246 25 18 23 31
ENSMUSG00000026171 1141 1306 908 1171 29 25 21 42
ENSMUSG00000033276 69 110 47 26 3 4 0 4
ENSMUSG00000033257 3674 4302 2943 3805 107 106 81 109
ENSMUSG00000026170 254 314 147 383 6 7 0 6
ENSMUSG00000006542 0 6 0 0 0 0 0 0
ENSMUSG00000033227 41 20 20 0 0 1 0 0
ENSMUSG00000026167 8 1 0 0 0 1 0 0
ENSMUSG00000089964 0 0 0 0 0 0 0 0
ENSMUSG00000090071 10 0 0 0 0 0 0 0
ENSMUSG00000055197 0 0 0 0 0 0 0 0
ENSMUSG00000006546 0 0 0 0 0 0 0 0
ENSMUSG00000065616 0 0 0 0 0 0 0 0
ENSMUSG00000047021 0 0 0 0 0 0 0 0
ENSMUSG00000089653 0 0 0 0 0 0 0 0
ENSMUSG00000006538 9 10 0 26 0 0 0 0
ENSMUSG00000026162 166 138 92 118 1 1 2 4
ENSMUSG00000026205 11 14 0 41 2 0 0 0
ENSMUSG00000033159 5544 5123 5633 5172 88 124 89 114
ENSMUSG00000049339 6124 5860 5885 5162 154 132 116 123
ENSMUSG00000026197 1143 1024 938 1091 25 8 19 23
ENSMUSG00000026198 1222 1004 914 948 34 22 22 34
ENSMUSG00000033124 2180 2176 3060 3662 60 43 71 101
ENSMUSG00000026199 1812 2031 1788 2725 41 35 27 62
ENSMUSG00000026200 1148 1448 805 1596 16 31 22 40
ENSMUSG00000026201 5138 4894 5077 5316 112 98 107 110
ENSMUSG00000026202 14090 11577 14397 10511 214 219 252 270
ENSMUSG00000026203 559 569 466 546 14 15 8 9
ENSMUSG00000026204 22 56 5 2 2 0 2 0
ENSMUSG00000033061 0 0 0 0 0 0 0 0
ENSMUSG00000026209 2718 2298 2061 2064 54 65 47 52
ENSMUSG00000026208 0 0 6 5 0 2 0 0
ENSMUSG00000085653 0 0 0 0 0 0 0 0
ENSMUSG00000026207 145 227 13 41 5 12 1 1
ENSMUSG00000086053 0 0 0 0 0 0 0 0
ENSMUSG00000033021 2390 2224 1626 1851 35 36 27 38
ENSMUSG00000033007 0 0 5 0 0 0 0 0
ENSMUSG00000032997 320 429 204 181 17 8 9 16
ENSMUSG00000026211 2498 2912 588 445 60 98 18 22
ENSMUSG00000051703 27 17 0 22 0 1 0 0
ENSMUSG00000032968 283 425 125 40 4 6 0 1
ENSMUSG00000082745 0 0 0 0 0 0 0 0
ENSMUSG00000026213 3209 2983 2550 3205 59 60 49 89
ENSMUSG00000082059 0 0 0 0 0 0 0 0
ENSMUSG00000006576 103 208 0 16 0 3 1 0
ENSMUSG00000083244 0 0 0 0 0 0 0 0
ENSMUSG00000082528 0 0 0 0 0 0 0 0
ENSMUSG00000082012 3 0 0 0 0 0 0 0
ENSMUSG00000089326 0 0 0 0 0 0 0 0
ENSMUSG00000026235 286 302 565 601 21 9 11 17
ENSMUSG00000065215 0 0 0 0 0 0 0 0
ENSMUSG00000004872 0 0 0 0 0 0 0 0
ENSMUSG00000032908 107 222 150 182 14 5 4 9
ENSMUSG00000026245 3287 2571 2841 2147 70 56 53 62
ENSMUSG00000090486 0 0 0 0 0 0 0 0
ENSMUSG00000012187 0 0 0 0 3 0 0 0
ENSMUSG00000032883 1892 2355 1752 1795 47 34 29 40
ENSMUSG00000079470 536 721 533 732 31 29 36 30
ENSMUSG00000047330 11 0 1 0 1 0 0 0
ENSMUSG00000072978 319 305 350 293 3 6 2 4
ENSMUSG00000050711 0 0 0 0 0 0 0 0
ENSMUSG00000077782 0 0 0 0 0 0 0 0
ENSMUSG00000054702 661 670 693 601 11 10 6 19
ENSMUSG00000073643 1076 1252 887 1221 25 25 26 41
ENSMUSG00000026248 1971 1353 1351 1135 31 33 21 20
ENSMUSG00000026249 424 312 298 125 20 6 2 5
ENSMUSG00000067106 308 288 274 179 8 7 7 5
ENSMUSG00000064589 0 0 0 0 0 0 0 0
ENSMUSG00000043230 33 15 0 0 0 1 0 0
ENSMUSG00000004364 5677 5700 5123 6105 122 109 102 143
ENSMUSG00000090637 66 64 70 58 3 2 9 5
ENSMUSG00000038608 5611 6904 3937 6995 153 178 133 241
ENSMUSG00000054976 0 0 0 0 0 0 0 0
ENSMUSG00000087008 308 209 529 527 13 7 7 11
ENSMUSG00000055980 61 70 87 68 6 5 8 3
ENSMUSG00000022591 0 0 0 0 0 0 0 0
ENSMUSG00000026142 1060 1067 1038 1204 28 28 31 28
ENSMUSG00000080388 0 0 0 0 0 0 0 0
ENSMUSG00000067158 2 7 0 0 0 1 4 1
ENSMUSG00000079465 0 0 2 0 0 0 0 0
ENSMUSG00000065055 0 0 0 0 0 0 0 0
ENSMUSG00000085879 2 6 0 0 0 0 1 0
ENSMUSG00000026150 2219 2139 2500 1962 47 28 52 48
ENSMUSG00000026149 3 4 0 0 0 1 0 0
ENSMUSG00000093782 0 0 0 0 0 0 0 0
ENSMUSG00000026159 2182 2566 2781 2750 102 53 56 87
ENSMUSG00000038496 5 4 29 8 0 0 0 0
ENSMUSG00000026166 1 11 4 47 0 0 0 1
ENSMUSG00000053161 0 0 0 0 0 0 0 0
ENSMUSG00000084443 0 0 0 0 0 0 0 0
ENSMUSG00000026163 0 0 0 0 0 0 0 0
ENSMUSG00000079140 73 71 52 59 0 1 1 1
ENSMUSG00000080572 0 0 0 0 0 0 0 0
ENSMUSG00000077736 0 0 0 0 0 0 0 0
ENSMUSG00000045658 14 28 4 12 0 0 0 0
ENSMUSG00000036766 0 5 0 0 0 0 0 0
ENSMUSG00000093254 0 0 0 0 0 0 0 0
ENSMUSG00000026219 9482 10890 9394 11134 283 249 265 318
ENSMUSG00000073633 122 75 81 68 6 7 4 4
ENSMUSG00000026220 0 0 0 6 0 0 0 0
ENSMUSG00000073632 0 3 0 0 0 0 0 0
ENSMUSG00000052477 22 59 32 26 0 1 0 0
ENSMUSG00000064281 1221 1013 1186 938 14 27 21 19
ENSMUSG00000061852 3 4 0 2 0 1 0 0
ENSMUSG00000089976 0 4 0 0 0 0 0 0
ENSMUSG00000089844 12 25 1 18 0 2 0 0
ENSMUSG00000073631 0 0 0 0 0 0 0 2
ENSMUSG00000072109 61 103 51 93 1 1 2 1
ENSMUSG00000090128 0 0 0 1 0 0 0 0
ENSMUSG00000089763 0 0 0 0 0 0 0 0
ENSMUSG00000089716 1 1 0 0 0 0 0 0
ENSMUSG00000079457 5 6 0 0 0 0 0 0
ENSMUSG00000090252 0 1 0 0 0 0 0 0
ENSMUSG00000079455 1 15 1 18 1 1 0 0
ENSMUSG00000091199 1 5 1 0 0 0 0 0
ENSMUSG00000089652 0 0 0 0 0 0 0 0
ENSMUSG00000089937 0 0 0 0 0 0 0 0
ENSMUSG00000090189 0 0 0 0 0 0 0 0
ENSMUSG00000089714 1 0 1 13 0 0 0 0
ENSMUSG00000090186 0 7 29 0 0 0 0 0
ENSMUSG00000070034 3156 3333 3253 3191 49 57 51 73
ENSMUSG00000090103 0 1 7 1 0 0 0 0
ENSMUSG00000070031 384 393 408 512 9 6 7 11
ENSMUSG00000073628 0 0 0 0 0 0 0 4
ENSMUSG00000090246 52 62 57 47 0 0 0 2
ENSMUSG00000026222 3059 3214 3940 4139 60 53 58 107
ENSMUSG00000064414 0 0 0 0 0 0 0 0
ENSMUSG00000052760 1467 1834 1291 2106 16 16 38 40
ENSMUSG00000092640 0 0 0 0 0 0 0 0
ENSMUSG00000092932 0 0 0 0 0 0 0 0
ENSMUSG00000036707 5165 5124 5044 4668 163 115 126 123
ENSMUSG00000026223 4092 4111 4425 4164 118 86 110 98
ENSMUSG00000026224 0 0 0 0 0 0 0 0
ENSMUSG00000049608 5 93 2 33 1 2 0 1
ENSMUSG00000026226 0 0 0 0 0 0 0 0
ENSMUSG00000026227 0 0 0 0 0 0 1 0
ENSMUSG00000026229 7213 6428 5802 5458 150 113 115 111
ENSMUSG00000077274 0 0 0 0 6 5 2 3
ENSMUSG00000026228 18 20 33 13 3 2 4 3
ENSMUSG00000062590 638 612 563 647 18 26 6 29
ENSMUSG00000087538 0 10 1 48 0 1 0 0
ENSMUSG00000079445 636 542 251 463 12 10 5 14
ENSMUSG00000091806 0 0 0 0 0 0 0 0
ENSMUSG00000026234 55514 46210 43794 37860 936 897 800 938
ENSMUSG00000064837 11 15 33 15 9 1 6 4
ENSMUSG00000064696 0 4 4 9 1 3 0 0
ENSMUSG00000064823 0 1 1 8 0 0 1 3
ENSMUSG00000073627 294 317 237 250 6 13 9 13
ENSMUSG00000026237 14 7 0 2 0 0 2 0
ENSMUSG00000036574 0 1 0 0 0 0 0 0
ENSMUSG00000067125 0 0 0 0 0 0 0 0
ENSMUSG00000026238 19035 15855 18130 15841 361 362 347 425
ENSMUSG00000026239 1313 1127 1153 1011 46 26 20 23
ENSMUSG00000026240 1813 1423 1674 1497 38 24 30 25
ENSMUSG00000084468 0 0 0 2 0 0 0 0
ENSMUSG00000026241 0 0 0 0 0 0 0 0
ENSMUSG00000053333 1794 1679 1617 1622 48 40 29 51
ENSMUSG00000084106 10583 8513 9422 7767 203 184 159 193
ENSMUSG00000026246 0 0 0 0 0 0 0 0
ENSMUSG00000079440 0 0 0 0 0 0 0 0
ENSMUSG00000036500 0 0 0 0 0 0 0 0
ENSMUSG00000026247 0 0 0 0 0 0 0 0
ENSMUSG00000036480 0 0 0 0 0 0 0 0
ENSMUSG00000026251 0 5 0 0 0 0 0 0
ENSMUSG00000026253 0 0 0 0 1 0 0 1
ENSMUSG00000026254 4174 3728 4064 3678 99 77 87 91
ENSMUSG00000088318 0 0 0 0 0 0 0 0
ENSMUSG00000026255 34 14 3 12 0 0 0 0
ENSMUSG00000089821 0 0 0 0 0 0 0 0
ENSMUSG00000048000 4934 4728 4657 5818 124 118 130 166
ENSMUSG00000065334 1 0 0 0 0 0 1 0
ENSMUSG00000079436 24 5 0 6 1 2 2 4
ENSMUSG00000089613 0 1 6 11 0 0 1 0
ENSMUSG00000026258 0 7 0 0 0 0 0 0
ENSMUSG00000026259 33 15 59 54 3 3 3 0
ENSMUSG00000079434 3 12 0 19 0 2 0 0
ENSMUSG00000091123 0 0 0 0 0 0 0 0
ENSMUSG00000090994 7 9 4 8 0 0 0 0
ENSMUSG00000026288 9732 10210 8534 10940 231 252 247 366
ENSMUSG00000026289 1937 2122 1777 2126 58 48 63 77
ENSMUSG00000087968 7 27 18 15 73 75 103 98
ENSMUSG00000089281 4 16 13 8 32 33 40 43
ENSMUSG00000073623 1 0 0 10 0 0 0 1
ENSMUSG00000056055 34 26 13 84 0 1 1 3
ENSMUSG00000070738 5157 6609 6452 6996 148 172 169 224
ENSMUSG00000005501 1541 1607 2777 3649 48 55 62 102
ENSMUSG00000077075 0 0 0 0 0 0 0 0
ENSMUSG00000084021 1 0 0 1 0 0 0 0
ENSMUSG00000083478 0 0 0 0 0 0 0 0
ENSMUSG00000090165 0 0 0 0 0 0 0 0
ENSMUSG00000092220 0 0 0 0 0 0 0 0
ENSMUSG00000090175 1 0 5 0 1 0 0 0
ENSMUSG00000089675 2 0 1 0 0 0 0 0
ENSMUSG00000090124 647 844 931 888 49 18 26 35
ENSMUSG00000082837 0 0 0 0 0 0 2 0
ENSMUSG00000054545 52 44 75 21 1 2 3 4
ENSMUSG00000090145 0 7 0 11 0 1 0 0
ENSMUSG00000084195 5 6 0 0 0 0 0 3
ENSMUSG00000081261 0 0 0 6 0 0 1 0
ENSMUSG00000081602 4 0 7 0 2 1 0 1
ENSMUSG00000082513 6 0 0 0 0 3 1 4
ENSMUSG00000082677 0 5 0 0 0 0 1 3
ENSMUSG00000089943 1 0 0 17 1 2 0 0
ENSMUSG00000081488 0 0 0 0 1 0 1 1
ENSMUSG00000083277 4 0 0 2 0 0 1 1
ENSMUSG00000090171 0 0 1 0 0 0 0 0
ENSMUSG00000081984 86 31 30 21 4 4 1 0
ENSMUSG00000089960 0 0 0 0 0 0 0 0
ENSMUSG00000079429 995 1009 1059 907 29 42 23 30
ENSMUSG00000044783 17978 23116 15372 18911 390 431 365 489
ENSMUSG00000036251 3 0 0 0 0 0 0 0
ENSMUSG00000085420 0 0 0 0 0 0 0 0
ENSMUSG00000026295 0 0 0 0 0 0 0 0
ENSMUSG00000062310 23 72 39 119 2 0 0 4
ENSMUSG00000049866 1286 1505 2263 2662 115 81 73 124
ENSMUSG00000036206 479 416 452 466 45 17 20 21
ENSMUSG00000055013 3279 3827 2690 2981 142 144 137 146
ENSMUSG00000088371 0 0 0 0 2 0 0 0
ENSMUSG00000088775 1 0 3 15 0 0 2 0
ENSMUSG00000034486 666 733 670 755 13 13 18 14
ENSMUSG00000092627 0 0 0 0 0 0 0 0
ENSMUSG00000067081 0 0 0 0 0 0 0 0
ENSMUSG00000026301 0 0 0 0 0 0 0 0
ENSMUSG00000044337 43 15 84 42 5 2 3 3
ENSMUSG00000034432 1996 1744 1742 1650 34 34 32 46
ENSMUSG00000056128 0 0 0 0 0 0 0 0
ENSMUSG00000048126 63 7 3 7 0 0 0 0
ENSMUSG00000026303 597 568 635 435 38 22 26 28
ENSMUSG00000090550 0 0 2 0 0 0 0 0
ENSMUSG00000026304 316 260 216 385 15 7 4 6
ENSMUSG00000026305 6684 7319 6722 7490 165 182 152 221
ENSMUSG00000070732 156 159 120 202 2 7 2 0
ENSMUSG00000034353 5523 5057 4519 4390 85 92 78 93
ENSMUSG00000034343 802 704 668 568 21 18 12 20
ENSMUSG00000083064 350 310 366 442 4 6 8 12
ENSMUSG00000091871 6 0 0 0 0 0 2 0
ENSMUSG00000026307 2472 2150 2732 2167 52 58 61 81
ENSMUSG00000090322 15 15 1 18 2 1 0 2
ENSMUSG00000049515 150 168 75 132 5 6 2 1
ENSMUSG00000026308 4 0 6 0 0 0 0 0
ENSMUSG00000047443 84 58 63 61 11 4 8 9
ENSMUSG00000026309 3007 2459 2206 2642 46 68 66 64
ENSMUSG00000067071 2599 2518 2596 2355 54 69 39 66
ENSMUSG00000055866 1245 1313 399 670 30 29 13 15
ENSMUSG00000034292 703 739 591 694 21 23 12 16
ENSMUSG00000026311 1047 1007 1089 1143 22 15 33 43
ENSMUSG00000007805 6 6 16 22 0 2 1 1
ENSMUSG00000073617 739 566 505 459 13 16 10 20
ENSMUSG00000026313 948 1159 685 986 57 45 36 51
ENSMUSG00000079420 2 11 7 10 4 3 3 6
ENSMUSG00000026260 4112 3202 3369 2865 54 64 56 68
ENSMUSG00000067064 0 0 0 0 0 0 0 0
ENSMUSG00000057464 0 0 0 0 0 0 0 0
ENSMUSG00000042849 0 0 0 0 0 0 0 0
ENSMUSG00000058904 0 0 0 0 0 0 0 0
ENSMUSG00000046300 0 0 0 0 0 0 0 0
ENSMUSG00000062497 0 0 0 0 0 0 0 0
ENSMUSG00000063583 0 0 0 0 0 0 0 0
ENSMUSG00000061616 0 0 0 0 0 0 0 0
ENSMUSG00000073616 1697 1121 1370 1014 26 38 30 32
ENSMUSG00000044055 356 414 625 607 5 7 8 15
ENSMUSG00000034220 1020 1144 933 733 59 44 24 43
ENSMUSG00000065470 0 0 0 0 0 0 0 0
ENSMUSG00000034212 3 8 7 13 1 1 0 2
ENSMUSG00000047067 425 404 435 389 4 8 13 6
ENSMUSG00000091828 53 32 14 14 1 5 1 2
ENSMUSG00000026269 3386 3379 3115 3232 86 75 78 138
ENSMUSG00000026270 982 1089 706 944 32 30 21 23
ENSMUSG00000026271 14 16 34 14 2 0 0 2
ENSMUSG00000045091 0 0 0 0 0 0 0 0
ENSMUSG00000014602 5 4 3 0 0 0 0 0
ENSMUSG00000090847 0 0 0 0 0 0 0 0
ENSMUSG00000026272 0 0 0 0 0 0 0 0
ENSMUSG00000034159 58 107 156 112 21 6 3 4
ENSMUSG00000084989 0 0 0 0 0 0 0 0
ENSMUSG00000047793 114 117 77 77 4 2 4 6
ENSMUSG00000026273 588 544 627 527 11 11 7 15
ENSMUSG00000026274 1601 1834 1561 1678 29 37 40 29
ENSMUSG00000026275 3686 3289 3425 3035 58 47 80 71
ENSMUSG00000064389 0 0 0 0 0 0 0 0
ENSMUSG00000034107 48 59 22 20 1 2 1 4
ENSMUSG00000034088 13556 13427 11308 11180 321 310 254 285
ENSMUSG00000090489 32 37 30 11 1 4 3 2
ENSMUSG00000026276 6550 6001 5923 6098 125 114 119 137
ENSMUSG00000034066 200 281 209 290 8 6 11 13
ENSMUSG00000026277 5207 5538 5475 5913 133 114 91 132
ENSMUSG00000093284 0 0 0 0 0 0 0 0
ENSMUSG00000026278 383 378 315 235 20 12 14 10
